Date,Sum of Nitric oxide,Sum of Nitrogen dioxide,Sum of Nitrogen oxides as nitrogen dioxide
26/07/2013,151.47817,688.78417,921.04741
27/07/2013,264.71562,1131.54691,1537.43852
28/07/2013,43.15295,223.54449,289.7114
29/07/2013,64.76295,320.33308,419.63488
30/07/2013,165.22494,560.91781,814.25913
31/07/2013,18.182,92.79961,120.67827
02/08/2013,23.96907,218.37021,255.12225
03/08/2013,41.22111,314.71511,377.91986
04/08/2013,37.90359,305.88461,364.00267
05/08/2013,159.43697,789.49882,1033.96542
06/08/2013,338.25735,1023.05509,1541.70915
07/08/2013,258.37449,1040.72947,1436.89809
08/08/2013,313.8316,1069.22729,1550.42903
09/08/2013,532.19019,1037.63454,1853.64809
10/08/2013,158.34713,800.13135,1042.92691
11/08/2013,101.14981,505.58627,660.68046
12/08/2013,512.18888,983.13945,1768.48477
13/08/2013,347.74017,902.81939,1436.01353
14/08/2013,428.02651,782.53092,1438.82906
15/08/2013,167.80299,485.2867,742.58106
16/08/2013,172.55263,562.10208,826.67909
17/08/2013,119.38637,468.34353,651.40006
18/08/2013,89.35713,423.40457,560.41686
19/08/2013,439.73198,1005.32924,1679.57553
20/08/2013,201.80255,519.98487,829.41108
21/08/2013,27.1288,222.04126,263.63814
22/08/2013,725.5249,1201.31873,2313.77469
23/08/2013,288.81046,1493.63383,1936.47031
24/08/2013,390.61498,1107.85867,1706.79326
25/08/2013,260.32867,784.64632,1183.81139
26/08/2013,129.48264,782.49731,981.0346
27/08/2013,563.72037,1388.02319,2252.38237
28/08/2013,315.34501,1304.76694,1788.28918
29/08/2013,206.26737,1137.99218,1454.26436
30/08/2013,113.93475,601.98538,776.68283
31/08/2013,404.92452,981.55444,1602.43005
01/09/2013,97.09533,675.2824,824.15986
02/09/2013,401.94782,958.97757,1575.28898
03/09/2013,824.08313,1402.98451,2666.56097
04/09/2013,1013.04418,1810.72584,3364.03857
05/09/2013,691.04632,1697.20476,2756.79435
06/09/2013,313.73441,927.29443,1408.34718
07/09/2013,99.89791,680.8688,834.04349
08/09/2013,68.82146,657.06806,762.5928
09/09/2013,826.11987,1354.79158,2621.49102
10/09/2013,553.77803,1119.97484,1969.08929
11/09/2013,622.57432,987.79764,1942.39828
12/09/2013,591.51959,989.95574,1896.93978
13/09/2013,1045.44946,880.65254,2483.65268
14/09/2013,430.32477,917.86866,1577.69074
15/09/2013,364.54173,680.76937,1239.72553
16/09/2013,286.79452,866.50785,1306.25328
17/09/2013,680.96242,964.1005,2008.22827
18/09/2013,670.64684,1175.66174,2203.97249
19/09/2013,425.62937,1085.53785,1738.16048
20/09/2013,600.13882,1303.33465,2223.53464
21/09/2013,291.78642,850.91381,1298.31339
22/09/2013,369.00349,649.18301,1215.17283
23/09/2013,645.31352,922.77232,1912.23926
24/09/2013,1424.34738,1510.00613,3693.97494
25/09/2013,785.53199,1571.72996,2776.19553
26/09/2013,381.24017,975.49358,1560.05366
27/09/2013,652.82822,1142.22966,2143.21889
28/09/2013,567.25603,1146.87143,2016.65188
29/09/2013,300.75138,849.17345,1310.31913
30/09/2013,609.11045,1146.4738,2080.43009
01/10/2013,755.59701,1577.53886,2736.10474
02/10/2013,730.53708,1146.83812,2266.97934
03/10/2013,1216.83749,1265.95261,3131.74408
04/10/2013,104.35362,985.3981,1145.40472
05/10/2013,411.56099,1245.712,1876.76334
06/10/2013,494.30448,1070.74022,1828.6632
07/10/2013,135.80864,1023.37317,1231.61017
08/10/2013,213.08551,1084.31546,1411.04203
09/10/2013,366.00614,1256.98855,1818.19021
10/10/2013,502.56858,1204.5475,1975.14188
11/10/2013,597.30091,1171.43828,2087.28689
12/10/2013,544.20134,1298.14222,2132.57266
13/10/2013,273.76138,1211.9259,1631.68746
14/10/2013,327.89127,1084.06206,1586.82166
15/10/2013,861.02782,1440.69421,2760.91849
16/10/2013,784.407,1440.10949,2642.85012
17/10/2013,317.64681,1284.62416,1771.6758
18/10/2013,509.37728,1203.78807,1984.82231
19/10/2013,260.80286,1148.26835,1548.16045
20/10/2013,112.6469,1008.26093,1180.98375
21/10/2013,145.54566,1063.3859,1286.55276
22/10/2013,249.92236,1065.36484,1448.57373
23/10/2013,89.02763,987.15824,1123.66532
24/10/2013,549.51684,1445.75055,2288.33126
25/10/2013,199.90059,998.90083,1305.41084
26/10/2013,44.5305,771.26568,839.54481
27/10/2013,38.07665,548.35231,606.73568
28/10/2013,75.30502,785.17804,900.64406
29/10/2013,275.71659,1228.74828,1651.50781
30/10/2013,280.41218,1347.59101,1777.55032
31/10/2013,185.5396,1164.30069,1448.79079
01/11/2013,291.32055,1262.90184,1709.58709
02/11/2013,179.97147,873.53121,1149.48358
03/11/2013,104.43487,805.6875,965.81874
04/11/2013,788.78609,1472.22787,2681.68297
05/11/2013,305.00635,1469.39577,1937.06559
06/11/2013,463.25682,1143.94006,1854.25723
07/11/2013,361.81971,1441.26033,1996.0428
08/11/2013,620.98039,1751.73238,2703.889
09/11/2013,456.82331,1560.89214,2261.3448
10/11/2013,672.44035,1512.48452,2543.54533
11/11/2013,450.0744,1508.18683,2198.29125
12/11/2013,903.10758,1568.05653,2952.80217
13/11/2013,998.10328,1708.96284,3239.3665
14/11/2013,709.78814,1586.34451,2674.67108
15/11/2013,1440.65969,1842.51095,4051.49164
16/11/2013,2350.26048,1934.89075,5538.57323
17/11/2013,580.23473,1418.76551,2308.44631
18/11/2013,741.16784,1346.52481,2482.96626
19/11/2013,846.58555,1677.45901,2975.53874
20/11/2013,541.29952,1637.51469,2467.49573
21/11/2013,820.05475,1447.2375,2704.63728
22/11/2013,962.39765,1596.32455,3071.98041
23/11/2013,934.73326,1559.42987,2992.66759
24/11/2013,459.82498,1348.02948,2053.08453
25/11/2013,978.08957,1580.56999,3080.28636
26/11/2013,1026.69827,1841.2417,3415.4904
27/11/2013,1408.8951,1672.88606,3833.16173
28/11/2013,1258.60212,1634.16305,3563.99271
29/11/2013,604.07934,1573.13917,2499.38124
30/11/2013,690.89842,1400.82242,2460.18517
01/12/2013,865.73962,1647.4484,2974.89725
02/12/2013,892.67653,1746.17612,3114.92765
03/12/2013,486.44059,1509.29001,2255.15515
04/12/2013,1096.45363,1792.44491,3473.65035
05/12/2013,538.55496,1606.72264,2432.49537
