Date,Sum of Nitric oxide,Sum of Nitrogen dioxide,Sum of Nitrogen oxides as nitrogen dioxide
29/04/2014,2446,1828,5579
30/04/2014,3688,2240,7862
01/05/2014,3831,2576,8451
02/05/2014,5345,2862,11058
03/05/2014,3495,2056,7415
04/05/2014,2093,1577,4785
05/05/2014,1576,1545,3961
06/05/2014,1463,1245,3488
07/05/2014,1473,1248,3506
08/05/2014,2298,1698,5223
09/05/2014,1307,1358,3362
10/05/2014,4362,2581,9269
11/05/2014,1226,1324,3204
12/05/2014,4296,2638,9225
13/05/2014,1752,1385,4071
14/05/2014,1974,1483,4509
15/05/2014,1324,1204,3233
16/05/2014,1242,1090,2993
17/05/2014,1795,1462,4213
18/05/2014,993,1191,2713
19/05/2014,4701,2877,10085
20/05/2014,2939,1905,6412
21/05/2014,1317,1350,3370
22/05/2014,4732,2409,9664
23/05/2014,5009,2515,10196
24/05/2014,4105,2337,8631
25/05/2014,3024,1967,6604
26/05/2014,2979,1567,6134
27/05/2014,4827,2213,9615
28/05/2014,4581,2158,9182
29/05/2014,4771,2621,9936
30/05/2014,2711,1696,5853
31/05/2014,1334,1307,3351
01/06/2014,1627,1196,3691
02/06/2014,1589,1060,3498
03/06/2014,1864,1259,4117
04/06/2014,3693,2000,7662
05/06/2014,1733,1437,4094
06/06/2014,3281,2045,7075
07/06/2014,3407,2301,7525
08/06/2014,1286,1051,3020
09/06/2014,4321,2024,8649
10/06/2014,2392,1438,5106
11/06/2014,1202,1029,2871
12/06/2014,1617,1296,3775
13/06/2014,1436,1083,3284
14/06/2014,1984,1103,4145
15/06/2014,2720,1350,5520
16/06/2014,2872,1528,5931
17/06/2014,2509,1254,5101
18/06/2014,2011,851,3935
19/06/2014,2236,1271,4699
20/06/2014,1147,842,2601
21/06/2014,610,687,1623
22/06/2014,512,630,1415
